עיר,מספר אנשי קשר
אור יהודה,אין אנשי קשר
אילת,אין אנשי קשר
אליכין,אין אנשי קשר
אלפי מנשה,אין אנשי קשר
אפרת,אין אנשי קשר
באר שבע,אין אנשי קשר
בית אל,אין אנשי קשר
בנימינה-גבעת עדה,אין אנשי קשר
בסמת טבעון,אין אנשי קשר
בת ים,אין אנשי קשר
גבעת זאב,אין אנשי קשר
גדרה,אין אנשי קשר
הוד השרון,אין אנשי קשר
הר אדר,אין אנשי קשר
זכרון יעקב,אין אנשי קשר
זמר,אין אנשי קשר
חדרה,אין אנשי קשר
חריש,אין אנשי קשר
טבריה,אין אנשי קשר
יבנה,אין אנשי קשר
יהוד-נווה אפריים,אין אנשי קשר
יסוד המעלה,אין אנשי קשר
ירושלים,אין אנשי קשר
כוכב יאיר,אין אנשי קשר
כרמיאל,אין אנשי קשר
לוד,אין אנשי קשר
מבשרת ציון,אין אנשי קשר
מגדל העמק,אין אנשי קשר
מודיעין עילית,אין אנשי קשר
מזכרת בתיה,אין אנשי קשר
מעלה אפרים,אין אנשי קשר
מצפה רמון,אין אנשי קשר
נאות חובב,אין אנשי קשר
נתיבות,אין אנשי קשר
נתניה,אין אנשי קשר
סביון,אין אנשי קשר
עומר,אין אנשי קשר
עכו,אין אנשי קשר
פתח תקווה,אין אנשי קשר
קדומים,אין אנשי קשר
קרית ארבע,אין אנשי קשר
קרית אתא,אין אנשי קשר
קרית ביאליק,אין אנשי קשר
קרית עקרון,אין אנשי קשר
קרית שמונה,אין אנשי קשר
ראשון לציון,אין אנשי קשר
רחובות,אין אנשי קשר
רכסים,אין אנשי קשר
רמלה,אין אנשי קשר
רמת גן,אין אנשי קשר
שגב-שלום,אין אנשי קשר
שוהם,אין אנשי קשר
